,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Банкомат,Расположение,Ипотека,Страхование,График работы,Очереди,Ремонт,load_time
10,alfa_bank/114955861641,Альфа-Банк,"Ленинский просп., 130/6, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",59.852294,30.271123,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",62,50,51,62,89,,,,,,2024-08-07 03:55:53
11,alfa_bank/106303811229,Альфа-Банк,"Московский просп., 94, Санкт-Петербург",alfabank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-16:45, 'sat': выходной, 'sun': выходной",59.901743,30.319515,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",88,84,,,83,,,,83,,2024-08-07 03:55:53
12,alfa_bank/1217113671,Альфа-Банк,"ул. Академика Лебедева, 31, Санкт-Петербург",alfabank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",59.958782,30.353651,"4,2",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",79,75,63,36,100,,,,,,2024-08-07 03:55:53
13,alfa_bank/29393631748,Альфа-Банк,"Каменноостровский просп., 41, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",59.968308,30.309508,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",74,61,63,61,95,,,,,,2024-08-07 03:55:53
14,alfa_bank/28477128015,Альфа-Банк,"Средний просп. Васильевского острова, 33, Санкт-Петербург",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",59.943034,30.277429,"4,8",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",93,98,95,,91,,,,,,2024-08-07 03:55:53
15,alfa_bank/61843499886,Альфа-Банк,"просп. Стачек, 47Е, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",59.880523,30.260415,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",64,46,67,,90,,,,,,2024-08-07 03:55:53
16,alfa_bank/145369459040,Альфа-Банк,"ул. Полярников, 6, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",59.876337,30.438102,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",73,66,47,56,92,,,,,,2024-08-07 03:55:53
17,alfa_bank/150890656386,Альфа-Банк,"ул. Савушкина, 127, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",59.987303,30.219281,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",73,63,76,69,100,70,,,,,2024-08-07 03:55:53
18,alfa_bank/110155439929,Альфа-Банк,"просп. Науки, 14, корп. 1, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",60.012229,30.402942,"4,2",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",56,40,51,47,100,,,25,,,2024-08-07 03:55:53
19,alfa_bank/213436423192,Альфа-Банк,"Комендантский просп., 13, корп. 1, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",60.009049,30.259778,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",64,53,73,,95,,,,,,2024-08-07 03:55:53
20,alfa_bank/241500614569,Альфа-Банк,"Бухарестская ул., 74, корп. 3, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",59.871346,30.381625,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",73,62,73,76,96,,,54,,71,2024-08-07 03:55:53
21,alfa_bank/38545066257,Альфа-Банк,"просп. Тореза, 9, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",60.000263,30.364081,"4,7",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",84,82,95,64,100,,,,,,2024-08-07 03:55:53
22,alfa_bank/217503515137,Альфа-Банк,,alfabank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",59.834944,30.383787,,['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",72,71,73,,,,,,,,2024-08-07 03:55:53
23,alfa_bank/1047989075,Альфа-Банк,"Новочеркасский просп., 43/17, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",59.928217,30.411260,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",67,62,57,67,85,,,,,,2024-08-07 03:55:53
24,alfa_bank/104806149902,Альфа-Банк,"просп. Энгельса, 139/21, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",60.051499,30.335119,"4,2",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",56,34,72,59,90,77,,,,,2024-08-07 03:55:53
25,alfa_bank/88699231578,Альфа-Банк,"просп. Просвещения, 84, корп. 1, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",60.036830,30.415554,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",62,51,69,54,85,,,,,,2024-08-07 03:55:53
26,alfa_bank/94867480539,Альфа-Банк,"бул. Менделеева, 11, корп. 1, Мурино",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",60.052645,30.431292,"4,2",['8 (800) 200-00-00Показать телефон'],['https://t.me/alfabank'],69,53,50,35,,,,,,,2024-08-07 03:55:53
27,alfa_bank/240697104736,Альфа-Банк,"Коломяжский просп., 15, корп. 2, Санкт-Петербург",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",60.001671,30.299321,"4,4",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",63,47,84,,92,,,,,,2024-08-07 03:55:53
28,alfa_bank/128302706783,Альфа-Банк,,alfabank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",59.905647,30.482666,"4,3",['8 (800) 200-00-00Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank']",73,52,86,67,,,,,,,2024-08-07 03:55:53
