,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Ремонт,Расположение,График работы,Ипотека,Кредит,load_time
12,sberbank/1228327522,СберБанк,"Фабричная ул., 6, корп. 3, микрорайон Пироговский, Мытищи",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-15:00, 'sun': выходной, ",55.980619,37.742367,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,31,0,,,,,,2024-07-29 04:50:05
13,sberbank/1088434062,СберБанк,"Комсомольская ул., 11, Щёлково",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",55.928461,38.000991,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,66,52,11,74,,69,57,2024-07-29 04:50:05
14,sberbank/1228254849,СберБанк,"ул. Грабина, 8Б, Королёв",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.925808,37.820331,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,64,48,,92,,,,2024-07-29 04:50:05
15,sberbank/1059341981,СберБанк,"ул. Толмачёва, 2, Ивантеевка",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",55.966706,37.913163,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,58,36,,,14,,,2024-07-29 04:50:05
16,sberbank/1033986670,СберБанк,"Силикатная ул., 39, Мытищи",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.940296,37.778694,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,52,26,,,11,,,2024-07-29 04:50:05
17,sberbank/1015728560,СберБанк,"Олимпийский просп., 21, Мытищи",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",55.925107,37.754224,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",73,60,59,,93,,,,2024-07-29 04:50:05
18,sberbank/1045546947,СберБанк,"просп. Космонавтов, 6А, Королёв",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.918933,37.867447,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",72,60,65,,94,38,50,38,2024-07-29 04:50:05
19,sberbank/1156698519,СберБанк,"Лётная ул., 30, корп. 1, Мытищи",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:30-15:30, 'sun': выходной, ",55.907733,37.718633,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,76,56,,94,,,,2024-07-29 04:50:05
20,sberbank/106511527922,СберБанк,"ул. Егора Абакумова, 10, корп. 1, Москва",www.sberbank.com,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-17:00, 'sun': выходной, ",55.879354,37.715139,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,53,53,,92,71,,,2024-07-29 04:50:05
21,sberbank/1214262643,СберБанк,"ул. Академика Каргина, 21, Мытищи",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.916719,37.774445,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,43,52,,90,17,,,2024-07-29 04:50:05
22,sberbank/1067539093,СберБанк,"ул. Ленина, 7, посёлок Лесные Поляны",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': 09:00-18:00, 'thu': выходной, 'fri': выходной, 'sat': 09:00-18:00, 'sun': выходной, ",55.958850,37.862093,"2,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 04:50:05
23,sberbank/1247944515,СберБанк,"ул. Веры Волошиной, 12, Мытищи",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",55.893061,37.725397,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,62,57,,90,61,,,2024-07-29 04:50:05
